Municipios;Sexo;Periodo;Total
46 Valencia/València;Total;2021;2.589.312
46 Valencia/València;Total;2020;2.591.875
46 Valencia/València;Total;2019;2.565.124
46 Valencia/València;Total;2018;2.547.986
46 Valencia/València;Total;2017;2.540.707
46 Valencia/València;Total;2016;2.544.264
46 Valencia/València;Total;2015;2.543.315
46 Valencia/València;Total;2014;2.548.898
46 Valencia/València;Total;2013;2.566.474
46 Valencia/València;Total;2012;2.580.792
46 Valencia/València;Total;2011;2.578.719
46 Valencia/València;Total;2010;2.581.147
46 Valencia/València;Total;2009;2.575.362
46 Valencia/València;Total;2008;2.543.209
46 Valencia/València;Total;2007;2.486.483
46 Valencia/València;Total;2006;2.463.592
46 Valencia/València;Total;2005;2.416.628
46 Valencia/València;Total;2004;2.358.919
46 Valencia/València;Total;2003;2.320.297
46 Valencia/València;Total;2002;2.267.503
46 Valencia/València;Total;2001;2.227.170
46 Valencia/València;Total;2000;2.201.200
46 Valencia/València;Total;1999;2.187.633
46 Valencia/València;Total;1998;2.172.796
46 Valencia/València;Total;1997;""
46 Valencia/València;Total;1996;2.172.840
46001 Ademuz;Total;2021;1.027
46001 Ademuz;Total;2020;1.037
46001 Ademuz;Total;2019;1.042
46001 Ademuz;Total;2018;1.046
46001 Ademuz;Total;2017;1.073
46001 Ademuz;Total;2016;1.137
46001 Ademuz;Total;2015;1.149
46001 Ademuz;Total;2014;1.179
46001 Ademuz;Total;2013;1.203
46001 Ademuz;Total;2012;1.258
46001 Ademuz;Total;2011;1.292
46001 Ademuz;Total;2010;1.285
46001 Ademuz;Total;2009;1.286
46001 Ademuz;Total;2008;1.269
46001 Ademuz;Total;2007;1.242
46001 Ademuz;Total;2006;1.183
46001 Ademuz;Total;2005;1.157
46001 Ademuz;Total;2004;1.140
46001 Ademuz;Total;2003;1.117
46001 Ademuz;Total;2002;1.152
46001 Ademuz;Total;2001;1.179
46001 Ademuz;Total;2000;1.195
46001 Ademuz;Total;1999;1.176
46001 Ademuz;Total;1998;1.199
46001 Ademuz;Total;1997;""
46001 Ademuz;Total;1996;1.197
46002 Ador;Total;2021;1.772
46002 Ador;Total;2020;1.730
46002 Ador;Total;2019;1.508
46002 Ador;Total;2018;1.393
46002 Ador;Total;2017;1.400
46002 Ador;Total;2016;1.437
46002 Ador;Total;2015;1.374
46002 Ador;Total;2014;1.411
46002 Ador;Total;2013;1.416
46002 Ador;Total;2012;1.440
46002 Ador;Total;2011;1.542
46002 Ador;Total;2010;1.510
46002 Ador;Total;2009;1.474
46002 Ador;Total;2008;1.513
46002 Ador;Total;2007;1.463
46002 Ador;Total;2006;1.398
46002 Ador;Total;2005;1.385
46002 Ador;Total;2004;1.346
46002 Ador;Total;2003;1.273
46002 Ador;Total;2002;1.216
46002 Ador;Total;2001;1.206
46002 Ador;Total;2000;1.178
46002 Ador;Total;1999;1.140
46002 Ador;Total;1998;1.125
46002 Ador;Total;1997;""
46002 Ador;Total;1996;1.117
46004 Agullent;Total;2021;2.369
46004 Agullent;Total;2020;2.388
46004 Agullent;Total;2019;2.410
46004 Agullent;Total;2018;2.413
46004 Agullent;Total;2017;2.387
46004 Agullent;Total;2016;2.395
46004 Agullent;Total;2015;2.402
46004 Agullent;Total;2014;2.435
46004 Agullent;Total;2013;2.428
46004 Agullent;Total;2012;2.465
46004 Agullent;Total;2011;2.479
46004 Agullent;Total;2010;2.463
46004 Agullent;Total;2009;2.449
46004 Agullent;Total;2008;2.418
46004 Agullent;Total;2007;2.364
46004 Agullent;Total;2006;2.334
46004 Agullent;Total;2005;2.319
46004 Agullent;Total;2004;2.352
46004 Agullent;Total;2003;2.290
46004 Agullent;Total;2002;2.289
46004 Agullent;Total;2001;2.250
46004 Agullent;Total;2000;2.223
46004 Agullent;Total;1999;2.213
46004 Agullent;Total;1998;2.204
46004 Agullent;Total;1997;""
46004 Agullent;Total;1996;2.205
46042 Aielo de Malferit;Total;2021;4.592
46042 Aielo de Malferit;Total;2020;4.625
46042 Aielo de Malferit;Total;2019;4.618
46042 Aielo de Malferit;Total;2018;4.646
46042 Aielo de Malferit;Total;2017;4.706
46042 Aielo de Malferit;Total;2016;4.724
46042 Aielo de Malferit;Total;2015;4.705
46042 Aielo de Malferit;Total;2014;4.657
46042 Aielo de Malferit;Total;2013;4.638
46042 Aielo de Malferit;Total;2012;4.743
46042 Aielo de Malferit;Total;2011;4.809
46042 Aielo de Malferit;Total;2010;4.726
46042 Aielo de Malferit;Total;2009;4.679
46042 Aielo de Malferit;Total;2008;4.637
46042 Aielo de Malferit;Total;2007;4.532
46042 Aielo de Malferit;Total;2006;4.502
